"title","tagline","responses","tech","is_winner","like_count","members","photo_url","has_video","comment_count"
"Image Recognition","A program using Google Cloud services to analyze pictures and output various things.","[1289, ' ', 'It analyses pictures from Google storage and does various things: It detects landmarks, text, and facial emotionIf there are facial emotions, it outputs the most frequent emotion in the pictures. ', 'We first used javascript using Google Vision API to teach ourselves how it works and after that we decided to use C# to create this program.  ', 'Being unfamiliar with C# and javascript. Various test cases that broke the code.  ', 'The whole program, learning how to use Vision API, and learning C# on our own. ', ""We learned how to use Google's Cloud Shell and it's various services that we could use like the Vision API. "", 'We are going to further improve the code and hopefully the final product would let a user snap various photos and the program will detect the overall mood of the entire gallery.  ']","['c#', 'google', 'googlevisionapi']","False","0","['ecastillo10', 'arroyoangel015', 'calderonvictor31']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/466/datas/small.jpg","False","0"
"Rhino Quiz ","Dynamic online quizes to acquire, educate and activate donations to Sumatran Rhino captive breeding programs","[531, 'Sumatran Rhinos, once estimated to have a population size under 1,000 individuals in the 1980s, now have around 80 individuals left. Online fundraising is a critical channel to acquire, engage and recruit new donors to support the last hope for this endangered species: to build upon the success of a captive breeding program.  ', ' ', ' ', ' ', ' ', ' ', '    Created by  Michael  Hard ']","","False","0","['maikolop']","","False","0"
"BountyUp","A platform enable bounties creators submit bounty projects, w/o cost, with interest earnings","[435, '... ', ' ', ' ', ' ', ' ', ' ', ' ']","['solidity', 'javascript', 'html5', 'scss']","False","1","['ninasissi', 'robsecord', 'cedriking']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/477/datas/small.png","False","0"
"Chat 1.0","A simple chat to learn TCP communication and sockets.","[796, 'To teach students how to use C# and build a small chat application for a code night. ', 'I create a server instances and two users or more can chat to it. ', 'Using C# and old tutorials from years ago. ', 'Updating to current network standards and then fixing buffer sizes and communications between the clients and server. ', 'I was able to troubleshoot some legacy code to modern fixes. ', 'Learn to walk away from the keyboard to think of ideas to fix the code. ', 'Update to handle emotes. ']","['c#']","False","0","['rneal1']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/440/datas/small.JPG","False","0"
"Just Work","A time sheet app to keep track of how much time everyone in a team has spent on a task","[1088, ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['dart', 'flutter', 'firebase', 'firestore', 'cloud-firestore']","False","0","['hyperlolo']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/443/datas/small.jpg","False","0"
"RU Home","A smart doorbell with integrated facial recognition and text alerts","[772, ' ', 'A doorbell that grants access based on who it recognizes or is approved to grant access to via facial recognition.  ', 'App using FlutterSMS integration using TwilioFacial Recognition using Microsoft AzureBackend/Database using Google Firebase ', ' ', ' ', ' ', ' ']","['pycharm', 'debian', 'dragonboard', 'webcam', 'flutter', 'firebase', 'twilio', 'firestore']","False","0","['jj484', 'pintojonathan11', 'advith', 'naveenanyogeswaran']","","False","0"
"Image Recognition","A program using Google Cloud services to analyze pictures and output various things.","[1289, ' ', 'It analyses pictures from Google storage and does various things: It detects landmarks, text, and facial emotionIf there are facial emotions, it outputs the most frequent emotion in the pictures. ', 'We first used javascript using Google Vision API to teach ourselves how it works and after that we decided to use C# to create this program.  ', 'Being unfamiliar with C# and javascript. Various test cases that broke the code.  ', 'The whole program, learning how to use Vision API, and learning C# on our own. ', ""We learned how to use Google's Cloud Shell and it's various services that we could use like the Vision API. "", 'We are going to further improve the code and hopefully the final product would let a user snap various photos and the program will detect the overall mood of the entire gallery.  ']","['c#', 'google', 'googlevisionapi']","False","0","['ecastillo10', 'arroyoangel015', 'calderonvictor31']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/466/datas/small.jpg","False","0"
"Rhino Quiz ","Dynamic online quizes to acquire, educate and activate donations to Sumatran Rhino captive breeding programs","[531, 'Sumatran Rhinos, once estimated to have a population size under 1,000 individuals in the 1980s, now have around 80 individuals left. Online fundraising is a critical channel to acquire, engage and recruit new donors to support the last hope for this endangered species: to build upon the success of a captive breeding program.  ', ' ', ' ', ' ', ' ', ' ', '    Created by  Michael  Hard ']","","False","0","['maikolop']","","False","0"
"BountyUp","A platform enable bounties creators submit bounty projects, w/o cost, with interest earnings","[435, '... ', ' ', ' ', ' ', ' ', ' ', ' ']","['solidity', 'javascript', 'html5', 'scss']","False","1","['ninasissi', 'robsecord', 'cedriking']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/477/datas/small.png","False","0"
"Chat 1.0","A simple chat to learn TCP communication and sockets.","[796, 'To teach students how to use C# and build a small chat application for a code night. ', 'I create a server instances and two users or more can chat to it. ', 'Using C# and old tutorials from years ago. ', 'Updating to current network standards and then fixing buffer sizes and communications between the clients and server. ', 'I was able to troubleshoot some legacy code to modern fixes. ', 'Learn to walk away from the keyboard to think of ideas to fix the code. ', 'Update to handle emotes. ']","['c#']","False","0","['rneal1']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/440/datas/small.JPG","False","0"
"Just Work","A time sheet app to keep track of how much time everyone in a team has spent on a task","[1088, ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['dart', 'flutter', 'firebase', 'firestore', 'cloud-firestore']","False","0","['hyperlolo']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/443/datas/small.jpg","False","0"
"RU Home","A smart doorbell with integrated facial recognition and text alerts","[772, ' ', 'A doorbell that grants access based on who it recognizes or is approved to grant access to via facial recognition.  ', 'App using FlutterSMS integration using TwilioFacial Recognition using Microsoft AzureBackend/Database using Google Firebase ', ' ', ' ', ' ', ' ']","['pycharm', 'debian', 'dragonboard', 'webcam', 'flutter', 'firebase', 'twilio', 'firestore']","False","0","['jj484', 'pintojonathan11', 'advith', 'naveenanyogeswaran']","","False","0"
"Go beyond your limits","Think about the future as women in tech.","[779, 'The 2019 technica theme ', 'It shows some of what girls in code can do, and helps us envision our futures. ', 'We began with basic website code that we had written in glitch previously and modified it to fit with the theme. We then created and enhanced our scratch games. Finally, we embedded our scratch projects into our website . ', 'Wifi and many distractions  ', 'Completing our website and reusing some of our previously written code. ', 'Teamwork skills! ', 'More games ']","['html', 'scratch', 'glitch']","False","0","['lattyl', 'darkfairykitten']","","False","0"
"Women Who Went Beyond","A trivia app about women who broke the rules and made history.","[528, ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['thunkable']","False","0","['slurrpeyselorm429', 'ayonh1']","https://challengepost-s3-challengepost.netdna-ssl.com/photos/production/software_photos/000/883/426/datas/small.PNG","False","0"
"Test Project","Test for Devpost","[212, 'Test project ', ' ', ' ', ' ', ' ', ' ', '    Created by  Reece Berens ']","","False","0","['reeceberens1']","","False","0"
